# solucao=Árbitro (Garçom)
# tempo_total=19.01s
id	grau	tranquilo	com_sede	bebendo	bebidas
0	3	5.00	0.00	3.00	3
1	3	7.00	0.00	3.00	3
2	2	2.00	1.00	3.00	3
3	4	10.00	1.00	3.00	3
4	4	8.00	0.00	3.00	3
5	3	4.00	0.00	3.00	3
6	5	15.00	0.00	3.00	3
7	4	7.00	0.00	3.00	3
8	3	5.00	1.00	3.00	3
9	6	16.00	0.00	3.00	3
10	2	3.00	1.00	3.00	3
11	3	7.00	2.00	3.00	3
# espera media (com sede) por grau:
# grau=2 media=1.00s (n=2)
# grau=3 media=0.60s (n=5)
# grau=4 media=0.34s (n=3)
# grau=5 media=0.00s (n=1)
# grau=6 media=0.00s (n=1)
# starvation analysis:
#   max_wait=2.00s mean_wait=0.50s stddev=0.64s max/mean=3.99 cv=1.29
#   grau=2 media=1.00s max=1.00s max/media=1.00 (n=2)
#   grau=3 media=0.60s max=2.00s max/media=3.33 (n=5)
#   grau=4 media=0.34s max=1.00s max/media=2.99 (n=3)
#   grau=5 media=0.00s max=0.00s max/media=1.00 (n=1)
#   grau=6 media=0.00s max=0.00s max/media=1.00 (n=1)
#   ALERTA: filosofos com espera >2x a media do grupo de mesmo grau:
#     filo 3 (grau 4): esperou 1.00s (299% da media 0.34s) [outlier]
#     filo 11 (grau 3): esperou 2.00s (333% da media 0.60s) [CRITICO]
