# solucao=backoff
# tempo_total=16.93s
id	grau	tranquilo	com_sede	bebendo	bebidas
0	3	4.94	1.18	3.00	3
1	3	5.11	0.00	3.00	3
2	2	1.21	0.88	3.00	3
3	4	7.52	0.66	3.00	3
4	4	7.53	2.73	3.00	3
5	3	4.07	3.09	3.00	3
6	5	10.49	0.83	3.00	3
7	4	7.61	0.58	3.00	3
8	3	6.85	0.31	3.00	3
9	6	13.50	0.42	3.00	3
10	2	2.81	0.97	3.00	3
11	3	5.67	0.00	3.00	3
# espera media (com sede) por grau:
# grau=2 media=0.92s (n=2)
# grau=3 media=0.92s (n=5)
# grau=4 media=1.32s (n=3)
# grau=5 media=0.83s (n=1)
# grau=6 media=0.42s (n=1)
