# solucao=Ordenacao de Recursos
# tempo_total=15.01s
id	grau	tranquilo	com_sede	bebendo	bebidas
0	3	2.00	6.00	3.00	3
1	3	2.00	0.00	3.00	3
2	2	2.00	4.00	3.00	3
3	4	5.00	5.01	3.00	3
4	4	8.00	4.00	3.00	3
5	3	4.00	5.00	3.00	3
6	5	7.00	4.00	3.00	3
7	4	5.00	2.00	3.00	3
8	3	4.00	2.00	3.00	3
9	6	10.00	0.00	3.00	3
10	2	5.00	1.00	3.00	3
11	3	5.00	2.00	3.00	3
# espera media (com sede) por grau:
# grau=2 media=2.50s (n=2)
# grau=3 media=3.00s (n=5)
# grau=4 media=3.67s (n=3)
# grau=5 media=4.00s (n=1)
# grau=6 media=0.00s (n=1)
